"Disposition","Location","per_loc"
SEE PERSON FOR INFO,WLV ART CTR,1
SICK OR INJURED PERS,WLV ART CTR,4
SUSPICIOUS PERSON,WLV ART CTR,11
SUSPICIOUS SITUATION,WLV ART CTR,4
SUSPICIOUS VEHICLE,WLV ART CTR,2
TRESPASS,WLV ART CTR,1
UNKNOWN TROUBLE,WLV ART CTR,2
WARRANT PICKUP,WIRELESS TOYS PARKING LOT,1
TRANSPORT,WINDOW 28 X2,1
WANTED PERSON,WINDOW 28,106
WANTED PERSON,WINDOW 27,4
WANTED PERSON,WINDOW 26,2
WANTED PERSON,WINDOW 25,4
TRANSPORT,WINDOW 24,1
WANTED PERSON,WINDOW 24,4
WANTED PERSON,WINDOW 23,11
WANTED PERSON,WINDOW 22,1
WANTED PERSON,WINDOW 21,2
WANTED PERSON,WINDOW 20,3
WANTED PERSON,WINDOW 19,1
WANTED PERSON,WINDOW 18,1
TRANSPORT,WINDOW 17,1
WANTED PERSON,WINDOW 17,1
WANTED PERSON,WINDOW #23,1
WANTED PERSON,WINDOW,3
ACCIDENT,WINDING TRAILS PARK,1
ASSIST A CITIZEN,WINDING TRAILS PARK,4
AUTO BURGLARY,WINDING TRAILS PARK,1
DRUNK DRIVER,WINDING TRAILS PARK,1
FIRE,WINDING TRAILS PARK,1
MAINTENANCE,WINDING TRAILS PARK,1
MAL DEST PROPERTY,WINDING TRAILS PARK,3
NON-CRIMINAL DETAIL,WINDING TRAILS PARK,1
OTHER DISTURBANCE,WINDING TRAILS PARK,1
PARK RULES VIOL CLOS,WINDING TRAILS PARK,10
PERSON ON FOOT,WINDING TRAILS PARK,3
PERSON W/GUN,WINDING TRAILS PARK,1
SEE PERSON FOR INFO,WINDING TRAILS PARK,1
SICK OR INJURED PERS,WINDING TRAILS PARK,1
SUSPICIOUS PERSON,WINDING TRAILS PARK,2
SUSPICIOUS SITUATION,WINDING TRAILS PARK,3
SUSPICIOUS VEHICLE,WINDING TRAILS PARK,20
TRAFFIC PROBLEM,WINDING TRAILS PARK,1
TRAFFIC STOP,WINDING TRAILS PARK,7
UNKNOWN TROUBLE,WINDING TRAILS PARK,1
WANTED PERSON,WIND 28,1
WANTED PERSON,WIN-28,1
WANTED PERSON,WIN 28 X2,1
DETENTION - INCIDENT,WIN 28,2
WANTED PERSON,WIN 28,105
TRANSPORT,WIN 27,1
WANTED PERSON,WIN 27,12
WANTED PERSON,WIN 25,2
WANTED PERSON,WIN 24,5
DETENTION - INCIDENT,WIN 23,1
WANTED PERSON,WIN 23,17
WANTED PERSON,WIN 22,3
WANTED PERSON,WIN 18,1
WANTED PERSON,WIN 16,1
SEE PERSON FOR INFO,WIN 14,1
DETAIL,WILSON AND D,1
ACCIDENT,WILSHIRE ST&W OAKEY BLVD,1
WANTED PERSON,WILLIS ST&W LONE MOUNTAIN RD,1
COMMUNITY CONTACT,WILLIAMS WENDELL ES,1
DETAIL,WILLIAMS WENDELL ES,1
SUSPICIOUS SITUATION,WILLIAMS WENDELL ES,1
DETAIL,WILKINS AND D,1
GRAFFITI,WILDWOOD PARK,1
INDECENT EXPOSURE,WILDWOOD PARK,1
JUVENILE DISTURBANCE,WILDWOOD PARK,2
MISSING/FOUND PROPER,WILDWOOD PARK,1
NARCOTICS,WILDWOOD PARK,8
NON-CRIMINAL DETAIL,WILDWOOD PARK,2
OTHER DISTURBANCE,WILDWOOD PARK,3
PARK RULES VIOL ALCO,WILDWOOD PARK,1
PARK RULES VIOL CLOS,WILDWOOD PARK,1
PARK RULES VIOL OTHE,WILDWOOD PARK,2
PERSON ON FOOT,WILDWOOD PARK,3
SUSPICIOUS PERSON,WILDWOOD PARK,1
SUSPICIOUS VEHICLE,WILDWOOD PARK,4
TRAFFIC PROBLEM,WILDWOOD PARK,2
TRAFFIC STOP,WILDWOOD PARK,2
WANTED PERSON,WILDWOOD PARK,1
WANTED PERSON,WILDFIRE CASINO,1
FIGHT,WHITE CASTLE,1
OTHER DISTURBANCE,WHISPERING SANDS DR&LEON AVE,1
OTHER DISTURBANCE,WHISKEY LICKER BAR,1
OTHER DISTURBANCE,WHISKEY BAR,1
OTHER DISTURBANCE,WHERE YOU PARK VEH,1
"911 DISC",WHEELER FREIGHT WAY,2
MAINTENANCE,WESTYARD,1
DETAIL,WESTSIDE SCHOOL,1
OTHER DISTURBANCE,WESTSIDE SCHOOL,2
INVESTIGATION/FOLLOW,WESTERN HS,7
NARCOTICS,WESTERN HS,1
TRAFFIC PROBLEM,WESTERN AVE&W SAHARA AVE,1
DETAIL,WESTERN AND HIGHLAND,1
DETAIL,WESTERN @ OAKEY,1
ANIMAL COMPLAINT,WESTCLIFF DR&S RAINBOW BLVD,1
ASSIST AN OFFICER,WESTCLIFF DR&S RAINBOW BLVD,2
PED/VEH INTERFERENCE,WESTCLIFF DR&S RAINBOW BLVD,1
PERSON ON FOOT,WESTCLIFF DR&S RAINBOW BLVD,2
ASSIST AN OFFICER,WESTCLIFF DR&S CIMARRON RD,1
DRUNK DRIVER,WESTCLIFF DR&S CIMARRON RD,1
TRAFFIC STOP,WESTCLIFF DR&S BUFFALO DR,1
DETAIL,WESTCLIFF DR&LORENZI ST,1
OTHER DISTURBANCE,WESTCLIFF DR&LORENZI ST,1
TRAFFIC STOP,WESTCLIFF DR&ANTELOPE WAY,1
DETAIL,WESTCARE - JUV/WOMEN,4
WANTED PERSON,WESTCARE - JUV/WOMEN,1
DETAIL,WESTCARE - DETOX,5
NON-CRIMINAL DETAIL,WESTCARE - DETOX,1
PERSON ON FOOT,WESTCARE - DETOX,1
TRANSPORT,WESTCARE - DETOX,1
DETAIL,WESTCARE - ADULT,1
TRANSPORT,WESTCARE - ADULT,2
MISC. ADMIN MATTER,WEST YARDS EVOC PAD,1
MISC. ADMIN MATTER,WEST YARDS EVOC,1
DETAIL,WEST YARDS,3
MAINTENANCE,WEST YARDS,4
OUT OF VEHICLE,WEST YARD/ CHEYENNE & BUFFALO,1
LUNCH,WEST YARD,1
MAINTENANCE,WEST YARD,5
OUT OF VEHICLE,WEST YARD,1
BURGLARY ALARM,WEST SUBSTATION,1
DETAIL,WEST SUB,1
NON-CRIMINAL DETAIL,WEST SIDE SCHOOL BLD 1928,1
TRAFFIC STOP,WEST SIDE OF LEAD IN DIRT LOT,1
OTHER DISTURBANCE,WEST OF MIDLANDING/CIRCLE 12,1
TRAFFIC STOP,WEST OF EASTERN ON WASHINGTON,1
WANTED PERSON,WEST OF,1
JUVENILE DISTURBANCE,WEST MIDDLE SCHOOL,1
"911 DISC",WEST LV LIBRARY,1
OTHER DISTURBANCE,WEST LV LIBRARY,1
SUSPICIOUS VEHICLE,WEST LV LIBRARY,1
INVESTIGATION/FOLLOW,WEST LAS VEGAS LIBRARY,1
OTHER DISTURBANCE,WEST LAS VEGAS LIBRARY,1
SICK OR INJURED PERS,WEST LAS VEGAS LIBRARY,2
SUICIDE ATTEMPT,WEST LAS VEGAS LIBRARY,1
TRAFFIC STOP,WEST LAS VEGAS LIBRARY,2
ASSIST A CITIZEN,WEST LAS VEGAS ART CENTER,1
OTHER DISTURBANCE,WEST LAS VEGAS,1
TRAFFIC PROBLEM,WEST CLIFF TRANSIT CENTER,1
TRAFFIC PROBLEM,WENGERT AVE&ARDMORE ST,1
WANTED PERSON,WENDYSLMBE,1
INVESTIGATION/FOLLOW,WELLSFARGO,1
MENTALLY ILL PERSON,WELLS FARGO,1
DETAIL,WELLNESS WAY&SHADOW LN,1
LODGING W/O CONSENT,WELLNESS WAY&SHADOW LN,1
PERSON ON FOOT,WELLNESS WAY&S MARTIN L KING B,1
DETAIL,WELLNESS WAY AND MLK,1
DETAIL,WELLNESS WAY,1
DETAIL,WELLNESS AND SHADOW,1
DETAIL,WELLNESS AND HOPE,1
DETAIL,WELLNESS @ SHADOW,1
DETAIL,WELLNESS & SHADOW,1
WANTED PERSON,WELFARE OFFICE,2
TRAFFIC STOP,WEAVER DR&H ST,1
TRANSPORT,WE CARE XPORT,1
WANTED PERSON,WE CARE WOMENS HOME,1
OUT OF VEHICLE,WE CARE,3
TRANSPORT,WE CARE,6
WANTED PERSON,WE CARE,5
WARRANT PICKUP,WE CARE,2
SUSPICIOUS SITUATION,WB OFF RAMP,1
COMMUNITY CONTACT,WATER TREATMENT PLAN,1
DETAIL,WATER TREATMENT PLAN,1
COMMUNITY CONTACT,WASTE WATER TREATMNT,1
DETAIL,WASTE WATER TREATMNT,3
SUSPICIOUS SITUATION,WASTE WATER TREATMNT,1
DETAIL,WASTE WATER,2
TRAFFIC STOP,WASHINGTON/VANTAGE POINT,1
TRAFFIC PROBLEM,WASHINGTON/RAINBOW,1
TRAFFIC STOP,WASHINGTON/ BAKER,1
OTHER DISTURBANCE,WASHINGTON TRAIL ENT @ STEWART,1
TRAFFIC STOP,WASHINGTON AND PECOS,1
DETAIL,WASHINGTON AND I 15,1
TRAFFIC STOP,WASHINGTON AND EASTERN,1
TRAFFIC PROBLEM,WASHINGTON AND 18TH ST,1
DETAIL,WASHINGTON & MLK,1
DETAIL,WASHINGTON & MAIN,1
DETAIL,WASHINGTON & 15,1
LODGING W/O CONSENT,WASH,1
OTHER DISTURBANCE,WASDEN ES,2
ABUSE NEGLECT,WARDKITTYES,1
NARCOTICS,WARDKITTYES,1
PERSON ON FOOT,WARDELLE ST&E BONANZA RD,1
TRAFFIC STOP,WARDELLE ST&E BONANZA RD,1
INVESTIGATION/FOLLOW,WARBONNET WAY&W CHARLESTON BLV,1
SUSPICIOUS SITUATION,WARBONNET WAY&DEL REY AVE,1
NON-CRIMINAL DETAIL,WALTER JACOBSON,1
LODGING W/O CONSENT,WALNUT AVE&WARDELLE ST,1
TRAFFIC STOP,WALNUT AVE&N EASTERN AVE,1
INVESTIGATION/FOLLOW,WALMARTWCRAIG,1
WANTED PERSON,WALMART//PARKING LOT,1
WANTED PERSON,WALMART NE CORNER,1
WANTED PERSON,WALMART - CSF,1
OTHER DISTURBANCE,WALKOVER BRIDGE,1
TRESPASS,WALKOVER BRIDGE,1
TRAFFIC STOP,WALGREENS PKG LOT,1
DIRECTED PATROL ACTI,WALGREENS,1
FIGHT,WALGREENS,1
OTHER DISTURBANCE,WALGREENS,4
WANTED PERSON,WALGREENS,1
WANTED PERSON,W28,5
WANTED PERSON,W22,1
WANTED PERSON,W21/W22,1
WANTED PERSON,W17,1
TRAFFIC PROBLEM,W/S OF STREET,1
PERSON ON FOOT,W/O SEVEN ELEVEN,1
WARRANT PICKUP,W/B WEST OF,1
WANTED PERSON,W/B W/O,1
TRAFFIC STOP,W/B OAKEY @ MP,1
WARRANT PICKUP,W/B E/O,1
WANTED PERSON,W/B BETWEEN JONES/TORREY PINES,1
WANTED PERSON,W/B ANN OVER FREEWAY,1
ACCIDENT,W/B 215,1
DRUNK DRIVER,W/B  W/O,1
DETAIL,W WYOMING AVE&S COMMERCE ST,1
PERSON ON FOOT,W WYOMING AVE&S COMMERCE ST,1
TRAFFIC STOP,W WYOMING AVE&S COMMERCE ST,1
ACCIDENT,W WYOMING AVE&INDUSTRIAL RD,1
PERSON ON FOOT,W WYOMING AVE&INDUSTRIAL RD,2
TRAFFIC STOP,W WYOMING AVE&INDUSTRIAL RD,2
TRAFFIC STOP,W WASHINGTON AVE&WASHINGTON OA,2
DIRECTED PATROL ACTI,W WASHINGTON AVE&SUNNY PL,1
TRAFFIC STOP,W WASHINGTON AVE&SUNNY PL,1
ASSIST A CITIZEN,W WASHINGTON AVE&STANFORD ST,1
TRAFFIC STOP,W WASHINGTON AVE&SAHARA WAY,1
ACCIDENT,W WASHINGTON AVE&S I 15,1
ASSIST A CITIZEN,W WASHINGTON AVE&S I 15,1
ASSIST AN OFFICER,W WASHINGTON AVE&S I 15,1
PERSON ON FOOT,W WASHINGTON AVE&S I 15,6
SEXUAL ASSAULT,W WASHINGTON AVE&S I 15,1
TRAFFIC STOP,W WASHINGTON AVE&S I 15,1
PERSON ON FOOT,W WASHINGTON AVE&ROCK SPRINGS ,1
